1,ChangeInsulationRValueForExteriorWalls,r_value,3.1,5.18
2,ChangeInsulationRValueForRoofs,r_value_roof,10.6,15.53
3,ChangeUValueandSHGCOfWindows,window_u_value_ip,0.62,0.65
4,ChangeUValueandSHGCOfWindows,window_shgc,0.41,0.68
5,SetGasBurnerEfficiency,eff,0.7,0.78
6,ReplaceLightsInSpaceTypeWithLPD,lpd,21.85,36.25
7,ChangeCOPforSingleSpeedDXCoolingUnits,cop,2.52,3.4
8,SetHeatingandCoolingSizingFactors,htg_sz_factor,1.1,1.4
9,SetHeatingandCoolingSizingFactors,clg_sz_factor,1.1,1.4
10,SetWaterHeaterEfficiency,heater_thermal_efficiency,0.7,0.82
11,AddOverhangsByProjectionFactor,projection_factor,0.0,0.5
12,ChangeOutdoorAir,design_spec_outdoor_air_per_area,0.21,0.39
13,ResizeExistingWindowsToMatchAGivenWWR,wwr,0.06,0.09
14,ChangeElectricEquipmentLoadsByPercentage,elecequip_power_change_percent,-73.5632,88.50575
